,DeepGaze-BAS_x,DeepGaze-BAS_y,DeepGaze-DIFF_x,DeepGaze-DIFF_y,ICF-BAS_x,ICF-BAS_y,ICF-DIFF_x,ICF-DIFF_y,IttyKoch-BAS_x,IttyKoch-BAS_y,IttyKoch-DIFF_x,IttyKoch-DIFF_y
0,34,14,52,32,13,37,79,16,38,32,79,15
1,34,14,34,14,13,37,58,2,38,32,79,0
2,34,14,35,15,13,37,60,0,37,33,13,63
3,34,14,56,18,13,37,56,0,38,32,13,63
4,34,14,55,19,13,37,27,63,37,33,12,63
5,34,14,52,32,13,37,27,63,37,33,79,0
6,34,14,35,13,13,37,61,0,37,33,52,0
7,34,14,53,31,13,37,61,0,39,32,65,0
8,34,14,53,30,14,36,60,0,38,33,38,63
9,53,31,34,15,60,0,15,63,38,33,54,0
10,53,31,54,30,60,0,60,0,38,33,27,63
11,53,30,53,31,14,36,60,0,38,33,0,33
12,53,30,53,30,14,36,16,63,38,33,79,19
13,35,13,36,12,14,37,28,63,38,32,0,33
14,35,13,53,31,14,36,60,0,38,33,27,63
15,35,13,37,12,14,36,15,63,38,34,26,63
16,35,13,53,31,14,36,30,36,38,34,26,63
17,35,13,53,31,14,36,61,0,38,33,37,63
18,53,31,53,31,60,0,13,39,38,33,36,63
19,53,31,53,30,60,0,61,0,38,33,26,63
20,53,31,35,13,60,0,32,33,38,33,26,63
21,53,31,52,30,60,0,32,32,38,33,27,63
22,53,31,53,31,60,0,0,37,38,33,22,63
23,35,12,51,31,60,0,58,0,37,33,34,63
24,34,13,35,11,60,0,23,63,38,32,25,63
25,34,13,52,31,59,0,60,0,37,33,22,63
26,56,18,33,15,59,0,59,0,37,33,34,63
27,34,14,33,15,59,0,59,0,37,34,23,63
28,34,14,33,15,12,35,59,0,37,33,22,63
29,34,14,51,32,12,35,59,0,36,34,26,63
30,34,14,20,59,12,35,25,63,37,34,23,63
31,34,14,51,32,12,35,24,63,37,34,24,63
32,34,14,51,32,12,35,23,63,37,33,53,0
33,51,32,20,60,12,35,60,0,40,31,0,42
34,51,32,51,32,11,35,6,38,40,31,0,35
35,51,31,51,31,11,35,13,35,36,34,0,43
36,33,14,32,15,11,35,23,63,36,33,0,40
37,33,14,33,12,11,35,10,63,40,31,0,39
38,33,14,33,13,11,35,29,63,40,31,0,34
39,33,14,33,14,11,35,21,63,39,32,0,40
40,33,14,33,15,11,35,12,34,40,31,0,45
41,33,14,33,14,11,35,21,63,36,34,0,38
42,33,14,33,12,11,36,22,63,39,32,0,63
43,33,14,51,32,11,36,22,63,39,32,0,38
44,33,14,33,13,11,36,22,63,40,31,0,52
45,33,14,33,15,11,36,23,63,41,31,0,42
46,33,14,33,14,11,36,56,0,39,32,0,42
47,33,14,33,15,11,36,8,38,39,32,0,63
48,33,14,33,11,11,36,59,0,39,32,0,33
49,33,13,32,12,11,36,59,0,40,31,0,30
50,33,13,55,18,11,35,58,0,39,32,50,0
51,33,13,15,59,11,35,59,0,40,31,55,0
52,33,13,51,32,58,0,59,1,39,31,51,0
53,33,13,32,13,58,0,58,0,39,31,53,0
54,33,13,33,11,11,35,59,0,36,33,79,10
55,33,12,33,11,11,35,58,0,36,33,53,19
56,33,12,32,15,11,35,10,63,39,31,0,35
57,33,12,33,12,11,35,59,0,36,33,0,42
58,33,12,33,11,11,35,56,0,36,33,55,0
59,33,12,46,19,11,35,61,0,37,33,79,25
60,33,12,50,30,11,35,11,63,36,33,0,41
61,33,12,46,19,11,35,56,0,36,33,79,30
62,33,12,45,19,11,35,55,0,37,33,0,37
63,33,12,33,12,11,35,12,61,37,33,0,41
64,33,12,33,12,11,35,12,63,36,33,0,55
65,33,12,33,12,11,35,10,63,36,33,0,40
